uuid,avaliacaoRef,idBaseRef,fazendaRef,dtcResponsavelRef,cod_fazenda,nomeFazenda,cidade_nome,estado_sigla,regiao_macro,regiao_micro,safra,epoca,dataPlantioSoja,dataColheitaSoja,latitude,longitude,altitude,nomeResponsavel,nome,dePara,status_material,tipoTeste,indexTratamento,populacao,gm,corPub,corPubNome,corPubGrupo,n_ENG,media_ENG,std_ENG,n_AIV,media_AIV,std_AIV,n_ALT,media_ALT,std_ALT
00df8aac-3dde-46f6-8425-9c8d8f09d13b,f1548072-6a8f-4fb8-b4de-ff54cc860223,16ee0a87-fdde-433c-88d9-78b27f31545c,d9b6c3c4-70f8-44d5-8824-1029ff5b0c55,fd6a17f2-2d5a-46b9-ad69-4f3d7816b53a,M4-402-H-24,Lajeada ,Campos de Júlio,MT,MACRO IV,REC 402,2024/25,Safra,10/9/2024,2/13/2025,-14.0275,-59.190277,660,Milena Goulart,77EA40,77EA40 E,STINE,Densidade,104,350,77,,,,5,2.6,0.55,5,12.8,0.84,5,66.8,3.27
0161597c-db96-4f45-9735-7778d3a86a7c,02dbc705-9469-496a-8614-c480801a522d,fd225d01-7d32-48d2-b1da-4b4160b802e9,cd9e910b-c53e-49f3-991a-2ab0c0f82e74,428c574c-4a2b-4fc0-ab2d-c5177c7db637,M4-402-D-24,Fazenda Flora,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,10/23/2024,2/20/2025,-12.5611,-55.4622,412,Lara Martins,79KA72,79KA72 CE,STINE,Densidade,306,250,79,C,Cinza,Cinza,5,2.2,1.1,5,10.8,1.1,5,54.6,3.65
0254cd09-b42c-4fe6-82cb-be718e75155f,2c2953e3-b91a-4444-8bed-9984c493bc4d,427c48ae-65d6-437d-845d-de39bce0d28f,4db9f327-5421-4971-84bb-8ce6ed788db4,cea7f5ab-9542-41b4-a62e-fe6496faace9,M4-402-A-24,Fazenda Aquidauana,Campo Novo do Parecis,MT,MACRO IV,REC 402,2024/25,Safra,10/15/2024,2/16/2025,-14.163552,-58.053603,437,Josélia Portilho,78KA42,78KA42 CE,STINE,Densidade,205,300,78,C,Cinza,Cinza,5,3.6,0.55,5,6.4,0.55,5,60,2
026f7fb8-2eb5-4636-9ee6-9977b870813b,bd1e7d3e-0ffb-4512-9ee4-00cad2fe13ce,9350d402-e742-4b64-b690-bfda000596ce,46a26871-132b-4fbf-bb8c-0c43f1226ad9,35b90f23-8b54-40ef-ba56-fefd341a9878,M4-402-F-24,Fazenda Santana ,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,10/16/2024,2/9/2025,-12.385359,-55.593431,380,Luiz Penna,80KA72,80KA72 CE,STINE,Densidade,307,400,80,C,Cinza,Cinza,5,2.2,0.45,5,10,0,5,91,2.24
029931ed-c5fc-4ce0-8043-3c2690412d79,bd1e7d3e-0ffb-4512-9ee4-00cad2fe13ce,127e25e1-5a4f-4397-9497-22f389e6169a,46a26871-132b-4fbf-bb8c-0c43f1226ad9,35b90f23-8b54-40ef-ba56-fefd341a9878,M4-402-F-24,Fazenda Santana ,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,10/16/2024,2/9/2025,-12.385359,-55.593431,380,Luiz Penna,70KA30,70KA30 CE,STINE,Densidade,101,300,70,M,Marrom,Marrom,5,1.8,0.45,5,10,0,5,91,2.24
02c9fda0-4afc-4084-8e3a-8a9f0d852677,2be20f45-ae40-4159-bc9e-2c936a5f98ca,0c4a6f11-475e-481e-a09b-cb195f3793f5,9ac6429e-ec51-4764-a767-7c89528ba0d6,586073f9-041b-4931-9e42-b44975c8b383,M4-401-F-24,Ponte de Pedra,Itiquira,MT,MACRO IV,REC 401,2024/25,Safra,10/28/2024,2/25/2025,-17.1054,-54.7112,485,Tamila Ribeiro,84KA92,84KA92 CE,DP2,Densidade,308,350,84,C,Cinza,Cinza,5,1,1,5,13,4.47,5,124,4.18
0300523e-8445-4d05-a094-6331ec71c154,2c2953e3-b91a-4444-8bed-9984c493bc4d,81bd60b3-260f-4786-b18f-55ebc3bbb24c,4db9f327-5421-4971-84bb-8ce6ed788db4,cea7f5ab-9542-41b4-a62e-fe6496faace9,M4-402-A-24,Fazenda Aquidauana,Campo Novo do Parecis,MT,MACRO IV,REC 402,2024/25,Safra,10/15/2024,2/16/2025,-14.163552,-58.053603,437,Josélia Portilho,80KA72,80KA72 CE,STINE,Densidade,107,300,80,C,Cinza,Cinza,5,3.2,0.45,5,6.2,1.1,5,62.4,2.51
0313f722-fd68-4d4a-acdb-ae7887869245,8be22c16-ba2b-4c1b-bf34-93ef4cf8d11a,1ead7e0f-8e86-4480-90b2-e9d261212c06,7001996a-2024-4068-bad3-bb65e80b77d3,7e3a92bf-2ddd-4c2a-a9a1-7ee7b42924db,M3-303-C-24,Nossa Senhora Aparecida,Araguari,MG,MACRO III,REC 303,2024/25,Safra,10/23/2024,3/1/2025,-18.7335,-47.98095,950,Fúlvio Gibello,76EA72,76EA72 E,STINE,Densidade,202,300,76,C,Cinza,Cinza,5,3.8,0.45,5,13.2,0.84,5,90,0
032b8281-b302-4e22-87ea-86cee99f0e3e,cdb80eed-bbfc-4242-95ed-c440b481eb49,fb30b4fa-b6f9-4293-94ab-5b26a97e1b1f,1855d4a7-024c-42c0-b0fa-f0a70ced866f,b3c863ab-5a70-433e-8f85-d3b2b695e14b,M3-301-E-24,Três Pinheiros,São Gabriel do Oeste,MS,MACRO III,REC 301,2024/25,Safra,10/30/2024,3/12/2025,-19.3191,-54.64512,660,Luiz Neves,84KA92,84KA92 CE,DP2,Densidade,208,300,84,C,Cinza,Cinza,1,3,,1,10,,1,100,
038663d1-d26b-4fa3-9226-aa0bbdd81cfe,2be20f45-ae40-4159-bc9e-2c936a5f98ca,080f5ab3-b26e-47d6-91ca-30a42460bed3,9ac6429e-ec51-4764-a767-7c89528ba0d6,586073f9-041b-4931-9e42-b44975c8b383,M4-401-F-24,Ponte de Pedra,Itiquira,MT,MACRO IV,REC 401,2024/25,Safra,10/28/2024,2/25/2025,-17.1054,-54.7112,485,Tamila Ribeiro,70KA30,70KA30 CE,STINE,Densidade,301,250,70,M,Marrom,Marrom,5,2,0.71,5,12,3.08,5,87,7.55
